name,description
Peter Gozinya,Peter goes in you
Peter Guzzinia,Peter goes in you
Peter Pulimov,Peter pull  him off
Peter Sukimov,Peter suck him off
Petey Cruiser,P.T. Cruiser
Phil Addio,Filatio
Phil Anderer,Philanderer
Phil Anthropist,Philanthropost
Phil Apeno,Fillapeno
Phil Bowles,must be a pot dealer
Phil Coe,Philco
Phil D Basket,Fill the basket
Phil Erup,Fill her up
Phil Graves,"cemetery employee, works with his brother Doug Graves"
Phil Harmonic,Philharmonic
Phil Hurwith-Dyck,Fill her with dick
Phil Landerer,Philanderer
Phil Meup,Fill me up
Phil Mike Hunt,Fill my cunt
Phil R. Monik,Philharmonic
Phil Rupp,Fill her up
Philip Heruterus,fill up her uterus
Philippa Hole,Fill up a hole
Phill McCafferty,dentist
Phillip D. Bagg,partner of Robin Banks below
Pierce Cox,ouch!
Pilar Knickersoff,Pull her kiickers off
Pipe Layer,Pipe layer
Polly Ester,Polyester
Polly Science,Polyscience
Polly Tech,Polytech
Poppa Cherry,Pop a cherry
Mark Post,Postmark
Private Keepout,"Private, keep out"
Q. Ball,Cue Ball
Q. Pidd,Cupid
Q. Tipp,Q-Tip
R. Chury,Archery
R. D'Vark,Aardvark
R. M. Pitt,Arm pit
R. Snick,Arsenic
R. Sole,Asshole
R. Sonn,Arson
R. Swipe,Ass (Arse) wipe
R. Towne,Our town
Rachel Slurs,Racial slurs
Ray Cyst,Racist
Ray Gunn,Ray gun
Ray Zenz,raisins
Ray Zindaroof,Raising the roof
Raynor Schein,Rain or shine
Reed Iculous,Rediculous
Reed Toomey,read to me
Rezzi Dent,Resident
Rhoda Mule,Rode a mule
Rhonda Campfire,Around the campfire
Rich Feller,Rich Fellow
Rich Guy,Rich Guy
Richard (Dick) Head,Dick Head
Richard Noggin,dick head
Rick O'Shae,Ricochet
Rick O'Shea,Ricochet
Rick Shaw,Rickshaw
Rob Banks,Rob banks
Rob O. Flavin,Riboflavin
Robin Andis Merryman,Robin and his merry men
Robin Banks,Robbing banks
Robin Droppings,Robin droppings
Robin Feathers,Robin feathers
Robin Money,Robbing money
Robin Steele,Rob and steal
Robyn DeCradle,Robbing the cradle
Rock Bottoms,Rock bottom
Rocky Beach,Rocky beath
Rocky Mountain,Rocky mountain
Rocky Rhoades,Rocky roads
Rocky Shore,Rocky shore
Rod N. Reel,Rod and reel
Roger Overndoute,"Roger, over and out"
Roman Holiday,Roman holiday
Rosa Crucion,Rosicrucian
Rosa Shore,rows ashore
Rose Bush,Rose bush
Rose Gardner,Rose Gardener
Rose Tattoo,Rose tatoo
Rosie Kuntz,Rosy cunts
Rowan Boatman,Rowing boatman
Royal Payne,Royal pain
Rufus Leaking,Roos is leaking
Rusty Blades,Rusty blades
Rusty Bridges,Rusty bridges
Rusty Carr,Rusty car
Rusty Dorr,Rusty door
Rusty Fender,Rusty fender
Rusty Fossat,Rusty faucet
Rusty Irons,Rusty irons
Rusty Keyes,Rusty keys
Rusty Nail,Rusty nail
Rusty Pipes,Rusty pipes
Rusty Steele,Rusty steel
Ryan Coke,Rye whiskey with Coca Cola
S. Cape,Escape
S. Caypartis,Escape artist
S. Oteria,Esoteria
Sal A. Mander,Salamander
Sal Minella,Salmonella
Sal Monella,Salmonella
Sal Vidge,Salvage
Sally Forth,Sally Forth
Sam & Ella's restaurant,Samonella's resturant
Sam Aritan,Samaritan
Sam Buca,Sambuca
Sam Manilla,Salmonella
Sam Owen,Samoan
Sam Pellcase,Sample case
Sandy Banks,Sandy Banks
Sandy Beach,Sandy Beach
Sandy Beech,Sandy Beach
Sandy Fagina,Sandy Vagina
Sarah Bellum,Cerebellum
Sarah Yevo,Sarajevo
Sasha Klotz,Such a klutz
Saul T. Balls,Salty balls
Sawyer B. Hind,Saw her behind
Sawyer Dickey,Saw you dick
Scott Free,Scott Free
Serj Protector,Surge protector
Seth Poole,poor guy has a lisp
Seymor Butts,See more butts
Seymour Bush,gynecologist
Seymour Butz,proctologist
Seymour Privates,See more privates
Seymour Wiener,See more weiner
Seymoure Butts,See more butts
Shanda Lear,Chandelier
Shandy Lear,Chandelier
Sharon A. Burger,Sharing a burger
Sharon Cox,Sharing cocks
Sharon Fillerup,Sharing fill her up
Sharon Needles,Sharing needles
Sharon Sharalike,Share and share alike
Sharon Weed,Sharing weed
Sharon Yang,sharing yang
Sharron D. Zeazes,Sharing disease
Sharron Peters,Sharing peters
Sheila Blige,She'll ablige
Sheila Takya,She'll take you
Sherwood Lovett,Shure would love it
Shirley U. Geste,Surely you guessed
Shirley Ujest,Surely you jest
Shonda Leer,Chandelier
Sil Antro,Cilantro
Simon Ize,Simonize
Sir Kim Scision,Circumcision
Skip Dover,Skipped over
Skip Roper,Skip  roper
Skip Stone,Skip stone
Solomon I. Lands,Solomon islands
Sonny Day,Sunny day
Stacy Rhect,Stays erect
Stan Dupp,Stand up
Stan Still,should own a 'stationery' store
Stanley Cupp,Stanley Cup
Stanley Steamer,Stanley Steamer
Stella Constellation,Steller constellation
Stu Pendous,Stupendous
Stu Pid,Stupid
Stu Pidasol,Stupid asshole
Stu Pidd,Stupid
Sue E. Side,Suicide
Sue Flay,Souffle
Sue Ridge,sewerage
Sue Saphone,Susaphone
Sue Shee,Sushi
Sue Vaneer,Souvenir
Sue Yu,Sue you
Sue Zuki,Suzuki
Sum Dum Chum,Some dumb chum
Summer Camp,Summer Camp
Summer Day,Summer day
Summer Greene,Summer green
Summer Holiday,Summer holiday
Sy Burnette,Cyber net
T. Bagg,Tea bag
T. Bone,T-bone
T. Byrd,T-bird
T. Doff,Teed off
T. Kettle,Tea Kettle
T. Leaves,Tea Leaves
T. Schirt,T-Shirt
T. Square,T-Square
T. Totler,Tea Totaler
Tad Pohl,Tadpole
Tad Pole,Tadpole
Tara Misu,Tiramisu
Taylor Maid,Tailor Made
Ted D. Baer,Teddy Bear
Ted E. Baer,Teddy Bear
Terry Aki,Teriaki
Terry Bull,Terribul
Terry Cloth,Terry Coth
Terry Dactyl,Pterodactyl
Tess Eckel,Testicle
Tess Steckle,Testicle
Tillit Hertz,Till it hurts
Tim Burr,Timber
Tinka Toy,Tinker toy
Tom A. Toe,Tomato
Tom Atoe,Tomato
Tom Foolery,Tom Foolery
Tom Katt,Tom cat
Tom Katz,Tom cats
Tom Morrow,Tomorrow
Tom Ollie,Tamale
Tommy Gun,Tommy gun
Tommy Gunn,Tommy gun
Tommy Hawk,Tomahawk
Travis Tee,Travasty
Trina Corder,Three and a quarter
Trina Forest,"tree in the woods, tree in a forest"
Ty Ballgame,Tie ballgame
Ty Coon,Tycoon
Ty Knotts,Tie knots
Ty Malone,time alone
Ty Pryder,Typewriter
Ty Tanic,Titanic
Ty Tannic,Titanic
U. Betcheras,You bet your ass
U. Boat,U-Boat
U. Nesco,UNESCO
U. O. Money,You owe money
U. Turn,U-Turn
U.G. Rection,Huge Erection
U.N. Wattarmey,You and what army
Urich Hunt,You rich cunt
Utits Besaggy,Your title be saggy
V. Neck,V-Neck
Vagina Inspektor,Vagina inspector
Val Vita,Velveeta
Val Voline,Valvoline
Vic Tory,Victory
Vic Trola,Victorla
Viola Solo,Viola solo
Virginia Beach,Virginia beach
Viva LaFrance,Viva la France
Walt Smedley,waltz medley
Walter Melon,Watermelon
Wanna Hickey,Want a hickey
Warner Brothers,Warner Brothers
Warren Peace,War and peace
Warren T.,Waranty
Wayne Kerr,Wanker
Wendy Storm,Windy storm
Weston East,West and East
Will Power,Will power
Will U. Shudup,Will you shut up
Will Wynn,"Mayor of Austin, Texas"
Willie B. Hardigan,Will he be hard again
Willie Leak,or won't he
Willie Makeet,Will he make it
Willie Waite,Will he wait
Willy Maiket,Will he make it
Wilma Fingerdo,will my finger do
Wilma Mumduya,Will my mom do you
Winsom Cash,Win some cash
Woody Forrest,Woody Forest
Woz Upp,What's up?
Wyn Green,(Casino Pit Boss)
Wysso Glumm,Why so glum
X. Aust,Exhaust
X. Benedict,Eggs benedict
X. Pert,Expert
X. Plode,Explode
X. Presstrain,Express train
X. Rey,X-Ray
X. Sitt,Exit
X. Zema,Eczema
Y. Bother,Why bother
Y. Knot,Why not
Yu Tube,You-tube
Yuda Mann,You da man
Z. Bra,Zebra
Z. Roe,Zero
Zach O'Balls,Sack of balls
Zoe Mudgett Hertz,so much it hurts
