3-D '/T/r/i/d/i/
disyllabize d/aI/'s/I/l/@/,b/aI/z
disyllable 'd/aI/s/I/l/@/b/@/l
disyoke d/I/s'/j//oU/k
Dis_pater d/I/s_'p/eI/t/@/r
dit d/I/t
ditat_Deus 'd/i/t/A/t_'d/E//U/s
ditch d/I//tS/
ditch-drawn d/I//tS/_dr/O/n
ditch-moss 'd/I//tS/,m/O/s
ditchdigger 'd/I//tS/,d/I/g/@/r
ditcher 'd/I//tS//@/r
ditchwater 'd/I//tS/,w/O/t/@/r
ditch_crowfoot d/I//tS/_'kr/oU/,f/U/t
ditch_fern d/I//tS/_f/[@]/rn
ditch_grass d/I//tS/_gr/&/s
ditch_hand d/I//tS/_h/&/nd
ditch_machine d/I//tS/_m/@/'/S//i/n
ditch_millet d/I//tS/_'m/I/l/I/t
ditch_moss d/I//tS/_m/O/s
ditch_reed d/I//tS/_r/i/d
ditch_rider d/I//tS/_'r/aI/d/@/r
ditch_spade d/I//tS/_sp/eI/d
ditch_stonecrop d/I//tS/_'st/oU/n,kr/A/p
ditheism 'd/aI//T//i/,/I/z/@/m
dither 'd/I//D//@/r
dithionate d/aI/'/T//aI//@/,n/eI/t
dithionic ,d/aI//T//aI/'/A/n/I/k
dithionic_acid ,d/aI//T//aI/'/A/n/I/k_'/&/s/I/d
dithionite d/aI/'/T//aI//@/,n/aI/t
dithionous ,d/aI//T//aI/'/A/n/@/s
dithyramb 'd/I//T//@/,r/&/m
dithyrambic ,d/I//T//@/'r/&/mb/I/k
Dithyrambus ,d/I//T//@/'r/&/mb/@/s
Ditmars 'd/I/tm/A/rz
ditokous 'd/I/t/@/k/@/s
ditriglyph d/aI/'tr/aI/,gl/I/f
dittany 'd/I/t/-/n/i/
Dittersdorf 'd/I/t/@/rz,d/O/rf
ditto 'd/I/t/oU/
dittograph 'd/I/t/@/,gr/&/f
dittographic ,d/I/t/@/'gr/&/f/I/k
dittography d/I/'t/A/gr/@/f/i/
ditto_machine 'd/I/t/oU/_m/@/'/S//i/n
ditto_mark 'd/I/t/oU/_m/A/rk
ditty 'd/I/t/i/
ditty-bag 'd/I/t/I/,b/&/g
ditty_bag 'd/I/t/i/_b/&/g
ditty_box 'd/I/t/i/_b/A/ks
Diu 'd/i//U/
diuresis ,d/aI//j//U/'r/i/s/I/s
diuretic ,d/aI//j//U/'r/E/t/I/k
Diuril 'd/aI//@/r/I/l
diurnal d/aI/'/[@]/rn/-/l
diurnally d/aI/'/[@]/rn/-/ll/i/
diurnal_arc d/aI/'/[@]/rn/-/l_/A/rk
diurnal_circle d/aI/'/[@]/rn/-/l_'s/[@]/rk/@/l
diurnal_epilepsy d/aI/'/[@]/rn/-/l_'/E/p/@/,l/E/ps/i/
Diushambe d/j//U/'/S//A/mb/E/
Dius_Fidius 'd/aI//@/s_'f/I/d/i//@/s
diva 'd/i/v/A/
divagate 'd/aI/v/@/,g/eI/t
divalent d/aI/'v/eI/l/@/nt
Divali d/I/'v/A/l/i/
divan d/I/'v/&/n
divaricate d/aI/'v/&/r/i/,k/eI/t
divaricate/aj d/aI/'v/&/r/@/k/I/t
divaricate/v d/aI/'v/&/r/@/,k/eI/t
diva_blue 'd/i/v/A/_bl/u/
dive d/aI/v
dive-bomb d/aI/v_b/A/m
diver 'd/aI/v/@/r
diverge d/I/'v/[@]/r/dZ/
divergence d/I/'v/[@]/r/dZ//@/ns
divergence_theorem d/I/'v/[@]/r/dZ//@/ns_'/T//i//@/r/@/m
divergency d/I/'v/[@]/r/dZ//@/ns/i/
divergent d/I/'v/[@]/r/dZ//@/nt
divergently d/I/'v/[@]/r/dZ//@/ntl/i/
divergent_squint d/I/'v/[@]/r/dZ//@/nt_skw/I/nt
divergent_strabismus d/I/'v/[@]/r/dZ//@/nt_str/@/'b/I/zm/@/s
diverge_from d/I/'v/[@]/r/dZ/_fr/@/m
divers 'd/aI/v/@/rz
divers-colored 'd/aI/v/@/rz_'k/@/l/@/rd
diverse d/I/'v/[@]/rs
diverse-colored d/I/'v/[@]/rs_'k/@/l/@/rd
diverse-shaped d/I/'v/[@]/rs_/S//eI/pt
diversely d/I/'v/[@]/rsl/i/
diverse_control d/I/'v/[@]/rs_k/@/n'tr/oU/l
diversification d/I/,v/[@]/rs/@/f/@/'k/eI//S//@/n
diversified d/I/'v/[@]/rs/@/,f/aI/d
diversified_corporation d/I/'v/[@]/rs/@/,f/aI/d_,k/O/rp/@/'r/eI//S//@/n
diversified_economy d/I/'v/[@]/rs/@/,f/aI/d_/I/'k/A/n/@/m/i/
diversiform d/I/'v/[@]/rs/@/,f/O/rm
diversify d/I/'v/[@]/rs/@/,f/aI/
diversion d/I/'v/[@]/r/Z//@/n
diversionist d/aI/'v/[@]/r/S//@/n/I/st
diversion_chamber d/I/'v/[@]/r/Z//@/n_'/tS//eI/mb/@/r
diversion_cut d/I/'v/[@]/r/Z//@/n_k/@/t
diversity d/I/'v/[@]/rs/I/t/i/
diversity_factor d/I/'v/[@]/rs/I/t/i/_'f/&/kt/@/r
divert d/I/'v/[@]/rt
diverticular ,d/aI/v/[@]/r't/I/k/j//U/l/@/r
diverticulitis ,d/aI/v/[@]/r,t/I/k/j//U/'l/aI/t/I/s
diverticulum ,d/aI/v/@/r't/I/k/j//@/l/@/m
divertimento d/I/,v/[@]/rt/@/'m/E/nt/oU/
diverting d/I/'v/[@]/rt/I//N/
divertingly d/I/'v/[@]/rt/I//N/l/i/
divertissement d/I/'v/[@]/rt/I/sm/@/nt
divertive d/I/'v/[@]/rt/I/v
Dives 'd/aI/v/i/z
divest d/I/'v/E/st
divestible d/I/'v/E/st/@/b/@/l
divestiture d/I/'v/E/st/I//tS//@/r
dive_bomber d/aI/v_'b/A/m/@/r
dive_into d/aI/v_'/I/nt/u/
divi-divi 'd/I/v/i/'d/I/v/i/
dividable d/I/'v/aI/d/@/b/@/l
dividableness d/I/'v/aI/d/@/b/@/ln/E/s
divide d/I/'v/aI/d
divided d/I/'v/aI/d/I/d
dividedly d/I/'v/aI/d/I/dl/i/
divided_highway d/I/'v/aI/d/I/d_'h/aI/,w/eI/
dividend 'd/I/v/I/,d/E/nd
dividendus ,d/aI/v/I/'d/E/nd/@/s
dividend_off 'd/I/v/I/,d/E/nd_/O/f
dividend_warrant 'd/I/v/I/,d/E/nd_'w/O/r/@/nt
divider d/I/'v/aI/d/@/r
dividers d/@/'v/aI/d/@/rz
divide_with d/I/'v/aI/d_w/I//T/
dividual d/I/'v/I//dZ//u//@/l
dividually d/I/'v/I//dZ//u//@/ll/i/
divination ,d/I/v/@/'n/eI//S//@/n
divinatory d/I/'v/I/n/@/,t/oU/r/i/
divine d/I/'v/aI/n
divine-human d/I/'v/aI/n_'h/j//u/m/@/n
divinely d/I/'v/aI/nl/i/
diviner d/I/'v/aI/n/@/r
divine_afflatus d/I/'v/aI/n_/@/'fl/eI/t/@/s
divine_breath d/I/'v/aI/n_br/E//T/
divine_discontent d/I/'v/aI/n_,d/I/sk/@/n't/E/nt
divine_function d/I/'v/aI/n_'f/@//N/k/S//@/n
divine_inspiration d/I/'v/aI/n_,/I/nsp/@/'r/eI//S//@/n
divine_office d/I/'v/aI/n_'/O/f/I/s
divine_right d/I/'v/aI/n_r/aI/t
divine_service d/I/'v/aI/n_'s/[@]/rv/I/s
divine_spark d/I/'v/aI/n_sp/A/rk
divine_tobacco d/I/'v/aI/n_t/@/'b/&/k/oU/
divinise 'd/I/v/@/,n/aI/z
divinity d/I/'v/I/n/I/t/i/
divinity_calf d/I/'v/I/n/I/t/i/_k/&/f
divinity_circuit d/I/'v/I/n/I/t/i/_'s/[@]/rk/I/t
divinity_fudge d/I/'v/I/n/I/t/i/_f/@//dZ/
divinity_school d/I/'v/I/n/I/t/i/_sk/u/l
divinity_student d/I/'v/I/n/I/t/i/_'st/u/d/-/nt
divinize 'd/I/v/@/,n/aI/z
divisi d/I/'v/i/z/i/
divisibility d/I/,v/I/z/@/'b/I/l/I/t/i/
divisible d/I/'v/I/z/@/b/@/l
divisibleness d/I/'v/I/z/@/b/@/ln/E/s
division d/I/'v/I//Z//@/n
Divisionism d/I/'v/I//Z//@/,n/I/z/@/m
division_algebra d/I/'v/I//Z//@/n_'/&/l/dZ//@/br/@/
division_algorithm d/I/'v/I//Z//@/n_'/&/lg/@/,r/I//D//@/m
division_center d/I/'v/I//Z//@/n_'s/E/nt/@/r
division_engineer d/I/'v/I//Z//@/n_,/E/n/dZ//@/'n/i/r
division_line d/I/'v/I//Z//@/n_l/aI/n
division_mark d/I/'v/I//Z//@/n_m/A/rk
division_ring d/I/'v/I//Z//@/n_r/I//N/
division_sign d/I/'v/I//Z//@/n_s/aI/n
divisive d/I/'v/aI/s/I/v
divisor d/I/'v/aI/z/@/r
divorce d/I/'v/oU/rs
divorcee d/I/v/oU/r's/i/
divorcement d/I/'v/oU/rsm/@/nt
divorce_court d/I/'v/oU/rs_k/oU/rt
divot 'd/I/v/@/t
divulgate d/I/'v/@/lg/eI/t
divulgatory d/I/'v/@/lg/@/,t/oU/r/i/
divulge d/I/'v/@/l/dZ/
divulgence d/I/'v/@/l/dZ//@/ns
divulse d/aI/'v/@/ls
divulsion d/I/'v/@/l/S//@/n
divulsive d/I/'v/@/ls/I/v
divvy 'd/I/v/i/
Diwali d/I/'w/A/l/i/
diwan d/I/'w/A/n
Dix d/I/ks
dixie 'd/I/ks/i/
Dixie 'd/I/ks/i/
Dixiecrat 'd/I/ks/i/,kr/&/t
Dixieland 'd/I/ks/i/,l/&/nd
Dixielander 'd/I/ks/i/,l/&/nd/@/r
dixit 'd/I/ks/I/t
Dixmoor 'd/I/ksm/U/r
Dixon 'd/I/ks/@/n
dixy 'd/I/ks/i/
Diyarbekir d/i/,/j//A/Rb/E/'k/I/R
dizen 'd/aI/z/@/n
dizygotic ,d/aI/z/aI/'g/A/t/I/k
dizzy 'd/I/z/i/
Djakarta /dZ//@/'k/A/rt/@/
Djambi '/dZ//A/mb/i/
djebel '/dZ//E/b/@/l
djelab /dZ//@/'l/&/b
djellaba '/dZ//E/l/@/b/@/
djellabah /dZ//@/'l/A/b/@/
Djeloula /dZ//eI/'l/u/l/A/
Djemas '/dZ//eI/m/A/s
Djerba '/dZ//E/rb/@/
Djerejian d/@/'r/eI//dZ//i//A/n
djibbah '/dZ//I/b/@/
Djibouti /dZ//i/b/u/'t/i/
Djilas '/dZ//I/l/A/s
djin /dZ//I/n
djinni '/dZ//I/n/i/
Djokjakarta ,/dZ//O/k/j//A/'k/A/Rt/A/
Dmitrevsk d/i/'m/i/tr/@/vsk
Dmitri 'dm/i/tr/i/
Dmitriev d/@/m'm/i/tr/i//j//@/v
Dmitri_Donskoy d/i/'m/i/tr/i/_d/oU/n'sk/oU//j/
Dmitrov d/i/'m/i/tr/oU/v
Dmitrovka d/i/m/i/'tr/oU/vk/A/
Dnepr 'dn/j//E/p/@/R
Dneprodzerzhinsk ,dn/j//E/pR/A//dZ//E/R'/Z//I/nsk
Dnepropetrovsk ,dn/j//E/pR/A/p/E/'tR/O/fsk
Dnestr 'dn/j//E/st/@/R
Dnieper 'n/i/p/[@]/r
Dniester 'n/i/st/@/r
do d/u/
do-all 'd/u/,/O/l
do-dad 'd/u/d/&/d
do-funny d/u/_'f/@/n/i/
do-good d/u/_g/U/d
do-gooder 'd/u/'g/U/d/@/r
do-goodism 'd/u/g/U/d,/I/z/@/m
do-it-yourself 'd/u//I/t/j//@/r's/E/lf
do-little d/u/_'l/I/t/-/l
do-nothing d/u/_'n/@//T//I//N/
do-nothingism 'd/u/,n/@//T//I//N/,/I/z/@/m
do-nothingness d/u/_'n/@//T//I//N/n/I/s
do-or-die 'd/u//@/r'd/aI/
do-over d/u/_'/oU/v/@/r
do-se-do ,d/oU/z/I/'d/oU/
do-up d/u/_/@/p
doable 'd/u//@/b/@/l
Doane d/oU/n
Doanna d/oU/'/&/n/@/
doat d/oU/t
dob d/A/b
dobber 'd/A/b/@/r
dobbin 'd/A/b/I/n
dobbin_cart 'd/A/b/I/n_k/A/rt
dobby 'd/A/b/i/
dobby_loom 'd/A/b/i/_l/u/m
dobe 'd/oU/b/i/
Dobermann 'd/oU/b/@/m/@/n
Doberman_pinscher 'd/oU/b/@/rm/@/n_'p/I/n/S//@/r
Dobie 'd/oU/b/i/
dobie 'd/oU/b/i/
dobla 'd/oU/bl/A/
Doblin 'd/y/bl/i/n
doblon d/@/'bl/oU/n
dobra 'd/oU/br/@/
Dobrogea 'd/O/bR/A/,/dZ//A/
Dobrovir 'd/oU/br/oU/v/i/r
Dobrovolsky d/oU/b'r/oU/v/oU/lsk/i/
Dobruja 'd/oU/br/u//dZ//@/
Dobrynin d/A/'bR/i/n/I/n
Dobson 'd/A/bs/@/n
dobson 'd/A/bs/@/n
dobsonfly 'd/A/bs/@/n,fl/aI/
dobson_fly 'd/A/bs/@/n_fl/aI/
Dobuan 'd/oU/b/u//@/n
doc d/A/k
docent 'd/oU/s/@/nt
Docetism d/@/'s/i/t/I/z/@/m
doch-an-dorrach 'd/A//x//@/n'd/A/R/@//x/
doch-an-dorris 'd/A//x//@/n'd/A/R/I/s
Docila d/oU/'s/I/l/@/
docile 'd/A/s/@/l
docilely 'd/A/s/@/ll/i/
docility d/A/'s/I/l/I/t/i/
dock d/A/k
dock-leaved d/A/k_l/i/vd
dock-walloper d/A/k_'w/A/l/@/p/@/r
dock-walloping d/A/k_'w/A/l/@/p/I//N/
dockage 'd/A/k/I//dZ/
docker 'd/A/k/@/r
docket 'd/A/k/I/t
dockhand 'd/A/k,h/&/nd
dockland 'd/A/kl/@/nd
dockmackie 'd/A/k,m/&/k/i/
dockmaster 'd/A/k,m/&/st/@/r
dockside 'd/A/k,s/aI/d
dockyard 'd/A/k,/j//A/rd
dock_boss d/A/k_b/A/s
dock_bur d/A/k_b/[@]/r
dock_charge d/A/k_/tS//A/r/dZ/
dock_cooper d/A/k_'k/u/p/@/r
dock_crane d/A/k_kr/eI/n
dock_cress d/A/k_kr/E/s
dock_crew d/A/k_kr/u/
dock_derrick d/A/k_'d/E/r/I/k
dock_foreman d/A/k_'f/oU/rm/@/n
dock_gate d/A/k_g/eI/t
dock_hand d/A/k_h/&/nd
dock_hoist d/A/k_h//Oi//st
dock_laborer d/A/k_'l/eI/b/@/r/@/r
dock_light d/A/k_l/aI/t
dock_nettle d/A/k_'n/E/t/-/l
dock_port d/A/k_p/oU/rt
dock_porter d/A/k_'p/oU/rt/@/r
dock_rent d/A/k_r/E/nt
dock_screw d/A/k_skr/u/
dock_sorrel d/A/k_'s/O/r/@/l
dock_space d/A/k_sp/eI/c
dock_spike d/A/k_sp/aI/k
dock_warrant d/A/k_'w/O/r/@/nt
docosanoic ,d/A/k/@/s/@/'n/oU//I/k
doctor 'd/A/kt/@/r
doctoral 'd/A/kt/@/r/@/l
doctorate 'd/A/kt/@/r/I/t
doctorfish 'd/A/kt/@/r,f/I//S/
doctorial d/A/k't/oU/r/i//@/l
doctorially d/A/k't/oU/r/i//@/ll/i/
doctor_blade 'd/A/kt/@/r_bl/eI/d
doctor_file 'd/A/kt/@/r_f/aI/l
doctor_fish 'd/A/kt/@/r_f/I//S/
doctrinaire 'd/A/ktr/@/'n/(@)/r
doctrinal 'd/A/ktr/@/n/-/l
doctrinally 'd/A/ktr/@/n/-/ll/i/
doctrinal_statement 'd/A/ktr/@/n/-/l_'st/eI/tm/@/nt
doctrine 'd/A/ktr/I/n
docudrama 'd/A/k/j//U/,dr/A/m/@/
document 'd/A/k/j//U/m/@/nt
document/n 'd/A/k/j//@/m/@/nt
document/v 'd/A/k/j//@/,m/E/nt
documental ,d/A/k/j//@/'m/E/nt/-/l
documentalist ,d/A/k/j//U/'m/E/nt/@/l/I/st
documentary ,d/A/k/j//@/'m/E/nt/@/r/i/
documentation ,d/A/k/j//@/m/E/n't/eI//S//@/n
Dodd d/A/d
dodder 'd/A/d/@/r
doddered 'd/A/d/@/rd
doddering 'd/A/d/@/r/I//N/
doddery 'd/A/d/@/r/i/
dodder_family 'd/A/d/@/r_'f/&/m/@/l/i/
dodder_grass 'd/A/d/@/r_gr/&/s
doddie 'd/A/d/i/
doddle 'd/A/d/@/l
Dodds d/A/dz
doddy 'd/A/d/i/
dodecagon d/oU/'d/E/k/@/,g/A/n
dodecagonal ,d/oU/d/E/'k/&/g/@/n/-/l
dodecahedron d/oU/,d/E/k/@/'h/i/dr/@/n
dodecanal d/oU/'d/E/k/@/,n/&/l
Dodecanese d/oU/,d/E/k/@/'n/i/s
dodecaphonic ,d/oU/d/E/k/@/'f/A/n/I/k
dodecaphonism d/oU/'d/E/k/@/f/@/,n/I/z/@/m
dodecaphonist d/oU/'d/E/k/@/f/@/n/I/st
dodecastyle d/oU/'d/E/k/@/,st/aI/l
dodecastylos d/oU/,d/E/k/@/'st/aI/l/A/s
dodecasyllabic d/oU/,d/E/k/@/s/I/'l/&/b/I/k
dodecasyllable ,d/oU/d/E/k/@/'s/I/l/@/b/@/l
dodecylphenol 'd/oU/d/I/s/I/l'f/i/n/oU/l
dodge d/A//dZ/
Dodge d/A//dZ/
Dodgem 'd/A//dZ//@/m
dodgem 'd/A//dZ//@/m
dodger 'd/A//dZ//@/r
Dodgeville 'd/A//dZ/v/I/l
dodge_ball d/A//dZ/_b/O/l
dodge_chain d/A//dZ/_/tS//eI/n
Dodgson 'd/A//dZ/s/@/n
dodgy 'd/A//dZ//i/
dodo 'd/oU/d/oU/
Dodonean ,d/oU/d'/-/n/i//@/n
Dodonian d/@/'d/oU/n/i//@/n
Dodsworth 'd/A/dzw/@/r/T/
Doe d/oU/
doe d/oU/
doek d/U/k
Doenitz 'd/y/n/I/ts
doer 'd/u//@/r
does d/@/z
doeskin 'd/oU/,sk/I/n
doeskin_brown 'd/oU/,sk/I/n_br/AU/n
doesn't 'duz/@/nt
doest 'd/u//I/st
doeth 'd/u//I//T/
doff d/A/f
doffer 'd/A/f/@/r
dog d/O/g
dog's-ear 'd/O/gz,/i/r
dog's-tail 'd/O/gz,t/eI/l
dog's-tongue 'd/O/gz,tu/N/
dog-banner d/O/g_'b/&/n/@/r
dog-bitten d/O/g_'b/I/t/-/n
dog-cheap d/O/g_/tS//i/p
dog-day d/O/g_d/eI/
dog-draw d/O/g_dr/O/
dog-drawn d/O/g_dr/O/n
dog-driven d/O/g_'dr/I/v/@/n
dog-ear d/O/g_/i/r
dog-eared 'd/O/g,/i/rd
dog-eat-dog 'd/O/g/i/t'd/O/g
dog-eyed d/O/g_/aI/d
dog-fisher d/O/g_'f/I//S//@/r
dog-footed d/O/g_'f/U/t/I/d
dog-gnawn d/O/g_n/O/n
dog-head d/O/g_h/E/d
dog-headed d/O/g_'h/E/d/I/d
dog-hungry d/O/g_'h/@//N/gr/i/
dog-keeping d/O/g_'k/i/p/I//N/
dog-lame d/O/g_l/eI/m
dog-lean d/O/g_l/i/n
dog-leaved d/O/g_l/i/vd
dog-leg d/O/g_l/E/g
dog-legged 'd/O/g'l/E/g/I/d
dog-paddle d/O/g_'p/&/d/-/l
dog-plum d/O/g_pl/@/m
dog-poor d/O/g_p/U/r
dog-sick d/O/g_s/I/k
dog-stopper d/O/g_'st/A/p/@/r
dog-tired d/O/g_t/aI//-/rd
dog-tongue d/O/g_t/@//N/
dog-weary d/O/g_'w/i/r/i/
dogate 'd/oU/g/eI/t
dogbane 'd/O/g,b/eI/n
dogbane_family 'd/O/g,b/eI/n_'f/&/m/@/l/i/
dogberry 'd/O/g,b/E/r/i/
Dogberry 'd/O/g,b/E/r/i/
dogberry_tree 'd/O/g,b/E/r/i/_tr/i/
dogbody 'd/O/g,b/A/d/i/
dogcart 'd/O/g,k/A/rt
dogcatcher 'd/O/g,k/&//tS//@/r
dogdom 'd/O/gd/@/m
doge d/oU//dZ/
dogey 'd/oU/g/i/
dogface 'd/O/g,f/eI/s
dogfight 'd/O/g,f/aI/t
dogfish 'd/O/g,f/I//S/
dogged 'd/O/g/I/d
doggedly 'd/O/g/I/dl/i/
doggedness 'd/O/g/I/dn/E/s
dogger 'd/O/g/@/r
doggerel 'd/O/g/@/r/@/l
doggery 'd/O/g/@/r/i/
doggish 'd/O/g/I//S/
doggishly 'd/O/g/I//S/l/i/
doggishness 'd/O/g/I//S/n/E/s
doggo 'd/O/g/oU/
doggone 'd/O/g'g/O/n
doggoned 'd/O/g'g/O/nd
doggrel 'd/O/gr/@/l
doggy 'd/O/g/i/
doghouse 'd/A/g,h/AU/s
dogie 'd/oU/g/i/
dogleg 'd/O/g,l/E/g
dogleg_fence 'd/O/g,l/E/g_f/E/ns
doglike 'd/O/g,l/aI/k
dogma 'd/O/gm/@/
dogman 'd/A/gm/@/n
dogmatic d/O/g'm/&/t/I/k
dogmatics d/O/g'm/&/t/I/ks
dogmatise 'd/O/gm/@/,t/aI/z
dogmatism 'd/O/gm/@/,t/I/z/@/m
dogmatist 'd/O/gm/@/t/I/st
dogmatize 'd/O/gm/@/,t/aI/z
dogrose 'd/A/gr/oU/z
dogsbody 'd/A/gz,b/A/d/i/
dogshore 'd/O/g,/S//oU/r
dogskin 'd/A/gsk/I/n
dogtooth 'd/O/g,t/u//T/
dogtooth_spar 'd/O/g,t/u//T/_sp/A/r
dogtooth_violet 'd/O/g,t/u//T/_'v/aI//@/l/I/t
dogtrot 'd/O/g,tr/A/t
dogvane 'd/O/g,v/eI/n
dogwatch 'd/O/g,w/A//tS/
dogwood 'd/O/g,w/U/d
dogwood_family 'd/O/g,w/U/d_'f/&/m/@/l/i/
dogy 'd/oU/g/i/
dog_ape d/O/g_/eI/p
dog_bee d/O/g_b/i/
dog_belt d/O/g_b/E/lt
dog_bent d/O/g_b/E/nt
dog_biscuit d/O/g_'b/I/sk/I/t
dog_blanket d/O/g_'bl/&//N/k/I/t
dog_bramble d/O/g_'br/&/mb/@/l
dog_breeder d/O/g_'br/i/d/@/r
dog_bur d/O/g_b/[@]/r
dog_button d/O/g_'b/@/t/-/n
dog_cabbage d/O/g_'k/&/b/I//dZ/
dog_cake d/O/g_k/eI/k
dog_camomile d/O/g_'k/&/m/@/,m/aI/l
dog_carrier d/O/g_'k/&/r/i//@/r
dog_chain d/O/g_/tS//eI/n
dog_chart d/O/g_/tS//A/rt
dog_cherry d/O/g_'/tS//E/r/i/
dog_clipper d/O/g_'kl/I/p/@/r
dog_clutch d/O/g_kl/@//tS/
dog_collar d/O/g_'k/A/l/@/r
dog_cracker d/O/g_'kr/&/k/@/r
dog_crate d/O/g_kr/eI/t
dog_curtain d/O/g_'k/[@]/rt/-/n
dog_daisy d/O/g_'d/eI/z/i/
dog_dandelion d/O/g_'d/&/n,d/-/l/aI//@/n
dog_days d/O/g_d/eI/z
dog_disease d/O/g_d/I/'z/i/z
dog_dollar d/O/g_'d/A/l/@/r
dog_elder d/O/g_'/E/ld/@/r
dog_fancier d/O/g_'f/&/ns/i//@/r
dog_fennel d/O/g_'f/E/n/-/l
dog_flea d/O/g_fl/i/
dog_flesh d/O/g_fl/E//S/
dog_flower d/O/g_'fl/AU//@/r
dog_food d/O/g_f/u/d
dog_fox d/O/g_f/A/ks
dog_grass d/O/g_gr/&/s
dog_grate d/O/g_gr/eI/t
dog_harness d/O/g_'h/A/rn/I/s
dog_hip d/O/g_h/I/p
dog_hood d/O/g_h/U/d
dog_hook d/O/g_h/U/k
dog_hospital d/O/g_'h/A/sp/I/t/-/l
dog_hysteria d/O/g_h/I/'st/i/r/i//@/
dog_iron d/O/g_'/aI//@/rn
dog_kennel d/O/g_'k/E/n/-/l
dog_Latin d/O/g_'l/&/t/-/n
dog_laurel d/O/g_'l/O/r/@/l
dog_leech d/O/g_l/i//tS/
dog_letter d/O/g_'l/E/t/@/r
dog_license d/O/g_'l/aI/s/@/ns
dog_lichen d/O/g_'l/aI/k/@/n
dog_life d/O/g_l/aI/f
dog_lily d/O/g_'l/I/l/i/
dog_louse d/O/g_l/AU/s
dog_lover d/O/g_'l/@/v/@/r
dog_meat d/O/g_m/i/t
dog_mercury d/O/g_'m/[@]/rk/j//@/r/i/
dog_mint d/O/g_m/I/nt
dog_nail d/O/g_n/eI/l
dog_nap d/O/g_n/&/p
dog_nettle d/O/g_'n/E/t/-/l
dog_owl d/O/g_/AU/l
dog_owner d/O/g_'/oU/n/@/r
dog_paddle d/O/g_'p/&/d/-/l
dog_parsley d/O/g_'p/A/rsl/i/
dog_plum d/O/g_pl/@/m
dog_poison d/O/g_'p//Oi//z/@/n
dog_pound d/O/g_p/AU/nd
dog_race d/O/g_r/eI/s
dog_reed d/O/g_r/i/d
dog_robber d/O/g_'r/A/b/@/r
dog_rose d/O/g_r/oU/z
dog_salmon d/O/g_'s/&/m/@/n
dog_screw d/O/g_skr/u/
dog_seal d/O/g_s/i/l
dog_shark d/O/g_/S//A/rk
dog_show d/O/g_/S//oU/
dog_sled d/O/g_sl/E/d
dog_sledge d/O/g_sl/E//dZ/
dog_snapper d/O/g_'sn/&/p/@/r
dog_soap d/O/g_s/oU/p
dog_spike d/O/g_sp/aI/k
dog_stinkhorn d/O/g_'st/I//N/k,h/O/rn
dog_tag d/O/g_t/&/g
dog_tapeworm d/O/g_'t/eI/p,w/[@]/rm
dog_tax d/O/g_t/&/ks
dog_tent d/O/g_t/E/nt
dog_thorn d/O/g_/T//O/rn
dog_tick d/O/g_t/I/k
dog_tongue d/O/g_t/@//N/
dog_town d/O/g_t/AU/n
dog_track d/O/g_tr/&/k
dog_train d/O/g_tr/eI/n
dog_tree d/O/g_tr/i/
dog_violet d/O/g_'v/aI//@/l/I/t
dog_wagon d/O/g_'w/&/g/@/n
dog_warden d/O/g_'w/O/rd/-/n
dog_watch d/O/g_w/A//tS/
dog_wheat d/O/g_/hw//i/t
dog_whelk d/O/g_/hw//E/lk
dog_whip d/O/g_/hw//I/p
dog_whistle d/O/g_'/hw//I/s/@/l
dog_winkle d/O/g_'w/I//N/k/@/l
dog_wrench d/O/g_r/E/n/tS/
doh d/oU/
Doha 'k/A/t/A/r_'d/oU/h/@/
Dohnanyi 'd/O/hn/A/n/j//I/
doiled d//Oi//ld
doily 'd//Oi//l/i/
doing 'd/u//I//N/
doings 'd/u//I//N/z
doing_business 'd/u//I//N/_'b/I/zn/I/s
Doisy 'd//Oi//z/i/
doit d//Oi//t
doited 'd//Oi//t/I/d
dojo 'd/oU//dZ//oU/
dol d/oU/l
dolabriform d/oU/'l/&/br/@/,f/O/rm
Dolby 'd/A/lb/i/
dolce 'd/oU/l/tS//eI/
dolce_far_niente ,d/A/lt/S//eI/_,f/A/r_n/i/'/E/nt/i/
dolce_vita 'd/oU/l/tS//eI/_'v/aI/t/@/
doldrums 'd/oU/ldr/@/mz
dole d/oU/l
doleful 'd/oU/lf/@/l
dolefully 'd/oU/lf/@/ll/i/
dolefulness 'd/oU/lf/@/ln/E/s
dolerite 'd/A/l/@/,r/aI/t
doleritic ,d/A/l/@/'r/I/t/I/k
dolesome 'd/oU/ls/@/m
dole_cupboard d/oU/l_'k/@/b/@/rd
dole_meadow d/oU/l_'m/E/d/oU/
dole_out d/oU/l_/AU/t
Dolgeville 'd/A/l/dZ/v/I/l
dolichocephalic ,d/A/l/@/k/oU/s/@/'f/&/l/I/k
dolichocephalism ,d/A/l/@/k/oU/'s/E/f/@/,l/I/z/@/m
dolichocranic ,d/A/l/@/k/oU/'kr/eI/n/I/k
Dolin 'd/oU/l/I/n
dolina d/@/'l/i/n/@/
doline d/@/'l/i/n
dolium 'd/oU/l/i//@/m
Dolius 'd/oU/l/i//@/s
Doll d/A/l
doll d/A/l
doll-like d/A/l_l/aI/k
dollar 'd/A/l/@/r
dollarbird 'd/A/l/@/r,b/[@]/rd
dollarfish 'd/A/l/@/r,f/I//S/
dollarwise 'd/A/l/@/r,w/aI/z
